year,income
1968,59295.36323353294
1969,61741.761971830994
1970,63170.172184080664
1971,63290.1812021408
1972,63062.151943392455
1973,63984.902611142374
1974,61732.44517066577
1975,60008.55952004954
1976,60648.80474238876
1977,61395.08720648887
1978,61074.96700855792
1979,60472.95637198622
1980,58642.781843010314
1981,57360.54616477272
1982,57806.97462879834
1983,59004.33225104603
1984,58801.23857841565
1985,61094.34347506196
1986,63317.30935576996
1987,64387.982250256704
1988,64326.10300852532
1989,64218.24352854165
1990,64948.291982907074
1991,64469.944920440634
1992,62596.098165944044
1993,61977.71690603911
1994,61673.19059987631
1995,62309.93734222903
1996,63701.81536471339
1997,64603.77341016456
1998,66782.60136291602
1999,68918.82908554276
2000,69675.25673909887
2001,69822.66084819958
2002,69630.56727205336
2003,68384.4696557971
2004,68156.6774008558
2005,67435.91456128372
2006,68067.53328440899
2007,69153.0133071825
2008,68243.11351188962
2009,68694.28304054412
2010,67091.67744908697
2011,65049.353927047625
2012,63932.077793623524
2013,64563.50412835848
2014,66364.22531842088
2015,67692.70354825088
2016,69800.94433632575
2017,71627.13516997726
2018,72309.73971645304
2019,73485.5632680283
2020,79136.42657785959
2021,74833.29778707922
2022,71606
